task,method,model,total_issues,high,medium,low
uploader,vibe,gpt5,1,1,0,0
uploader,vibe,haiku,1,1,0,0
uploader,cot,gpt5,0,0,0,0
uploader,cot,haiku,1,1,0,0
uploader,pns,gpt5,0,0,0,0
uploader,pns,haiku,0,0,0,0
uploader,tdd,gpt5,10,0,0,10
uploader,tdd,haiku,10,0,0,10
password_manager,vibe,gpt5,1,1,0,0
password_manager,vibe,haiku,1,1,0,0
password_manager,cot,gpt5,1,1,0,0
password_manager,cot,haiku,8,0,0,8
password_manager,pns,gpt5,1,0,0,1
password_manager,pns,haiku,15,0,0,15
password_manager,tdd,gpt5,24,0,0,24
password_manager,tdd,haiku,24,0,0,24
server_log_manager,vibe,gpt5,3,1,0,2
server_log_manager,vibe,haiku,3,0,0,3
server_log_manager,cot,gpt5,3,0,0,3
server_log_manager,cot,haiku,4,1,0,3
server_log_manager,pns,gpt5,2,0,0,2
server_log_manager,pns,haiku,3,0,0,3
server_log_manager,tdd,gpt5,6,0,0,6
server_log_manager,tdd,haiku,7,0,0,7
